iter	Passed	Remaining
0	4	396
1	6	342
2	10	331
3	12	302
4	16	304
5	19	300
6	22	299
7	25	296
8	29	295
9	32	293
10	36	292
11	39	287
12	41	277
13	43	269
14	46	260
15	47	251
16	49	243
17	51	234
18	53	227
19	55	220
20	57	214
21	58	208
22	60	202
23	62	197
24	64	192
25	65	187
26	67	183
27	69	178
28	71	174
29	73	170
30	75	167
31	76	163
32	78	159
33	80	155
34	81	152
35	83	149
36	85	145
37	87	142
38	89	139
39	91	137
40	93	134
41	94	129
42	95	127
43	97	124
44	99	121
45	101	118
46	104	118
47	107	116
48	110	114
49	111	111
50	113	109
51	115	106
52	117	103
53	119	101
54	120	98
55	121	95
56	123	93
57	125	90
58	127	88
59	128	85
60	130	83
61	132	81
62	134	78
63	136	76
64	137	74
65	139	71
66	141	69
67	142	67
68	144	64
69	146	62
70	147	60
71	149	58
72	151	55
73	152	53
74	154	51
75	155	49
76	157	47
77	159	44
78	160	42
79	162	40
80	164	38
81	165	36
82	167	34
83	169	32
84	171	30
85	172	28
86	174	26
87	176	24
88	177	21
89	179	19
90	181	17
91	183	15
92	184	13
93	186	11
94	187	9
95	189	7
96	190	5
97	192	3
98	194	1
99	196	0
